Date/Time,T [outside],T [comb 1/2],T [comb 4/5],T [comb 5/6],Humidity
2018/11/07 12:37:00,15.3,34.2,24.7,23.6,49.1
2018/11/07 12:42:00,15.3,34.0,24.5,23.5,48.8
2018/11/07 12:47:00,15.5,34.0,24.7,23.5,51.7
2018/11/07 12:52:00,16.2,34.2,24.5,23.5,49.2
2018/11/07 12:57:00,16.2,34.0,24.5,23.4,48.6
2018/11/07 13:02:00,16.0,34.0,24.5,23.5,48.3
2018/11/07 13:07:00,15.8,34.0,24.7,23.4,49.3
2018/11/07 13:12:00,15.8,34.2,24.7,23.4,48.8
2018/11/07 13:17:00,15.8,34.2,24.5,23.5,50.5
2018/11/07 13:22:00,16.0,34.2,24.7,23.5,49.1
2018/11/07 13:27:00,16.0,34.2,24.5,23.5,49.5
2018/11/07 13:32:00,15.8,34.0,24.5,23.5,48.8
2018/11/07 13:37:00,15.8,34.0,24.5,23.5,48.1
2018/11/07 13:42:00,15.5,34.5,24.5,23.5,49.2
2018/11/07 13:47:00,15.8,34.5,24.7,23.5,49.7
2018/11/07 13:52:00,16.0,34.5,24.5,23.4,47.9
2018/11/07 14:07:00,16.0,34.0,24.5,23.5,47.0
2018/11/07 14:12:00,16.0,33.7,24.5,23.5,48.0
2018/11/07 14:17:00,16.2,34.0,24.5,23.4,47.8
2018/11/07 14:22:00,16.2,34.2,24.5,23.4,48.1
2018/11/07 14:27:00,16.5,34.0,24.5,23.4,47.2
2018/11/07 14:32:00,16.5,33.7,24.5,23.4,48.9
2018/11/07 14:37:00,16.7,34.0,24.5,23.4,47.9
2018/11/07 14:42:00,17.0,33.7,24.5,23.5,56.1
2018/11/07 14:47:00,16.7,33.7,24.5,23.4,53.9
2018/11/07 14:52:00,17.0,33.5,24.5,23.4,47.8
2018/11/07 14:57:00,17.0,33.7,24.5,23.4,48.2
2018/11/07 15:02:00,17.0,33.7,24.5,23.4,47.5
2018/11/07 15:07:00,17.0,33.5,24.5,23.5,47.6
2018/11/07 15:12:00,17.0,33.7,24.5,23.4,48.1
2018/11/07 15:17:00,17.0,33.7,24.5,23.4,48.1
